iter	Accuracy	Logloss
0	0.7768251272	0.6541672591
1	0.7977038621	0.6228515138
2	0.8031946761	0.5943292009
3	0.8123733162	0.5706860093
4	0.8156746255	0.5491732115
5	0.8180733041	0.5306325801
6	0.8266210122	0.5132189414
7	0.8253739267	0.499844249
8	0.8335783169	0.4868590149
9	0.8324540073	0.4754997042
10	0.8449214518	0.4633787017
11	0.8446758999	0.4535711553
12	0.846660778	0.4434295821
13	0.8499177515	0.4345213909
14	0.8577560874	0.4242852446
15	0.8607436358	0.4160276984
16	0.8564453403	0.4090978611
17	0.8604685267	0.4016384437
18	0.8587542105	0.3951423929
19	0.8647042975	0.3870709988
20	0.8766738172	0.3796843665
21	0.8799421589	0.3733882496
22	0.8825045387	0.3681249083
23	0.8845701307	0.3640644472
24	0.8848247771	0.3593854888
25	0.8829478964	0.3546077388
26	0.8849611948	0.3513721604
27	0.8867641826	0.3479756455
28	0.8940500267	0.3431432116
29	0.8947844088	0.3397141622
30	0.8917934499	0.3350364569
31	0.8923141109	0.3313574228
32	0.8930894184	0.3285469361
33	0.8972569803	0.3250774499
34	0.8995317461	0.3218492085
35	0.9048372593	0.3180551847
36	0.9103042002	0.3129515897
37	0.9148435004	0.3097531249
38	0.9174831837	0.3061542476
39	0.9226568264	0.3011038356
40	0.9250793781	0.2979856979
41	0.9257125837	0.2943158656
42	0.930772545	0.2887078314
43	0.9334099546	0.2865525858
44	0.9318900337	0.2835339119
45	0.9365475626	0.2801172505
46	0.9458478419	0.2755796438
47	0.9460581526	0.2729055412
48	0.9464980998	0.270188103
49	0.9492048551	0.267803211
50	0.9519059263	0.2649203587
51	0.9499392373	0.2633277929
52	0.9542432169	0.2617349232
53	0.9548605072	0.2584830444
54	0.9570841163	0.256963027
55	0.9573524045	0.2542526041
56	0.9576127351	0.251264051
57	0.9559018292	0.2491927565
58	0.9582823188	0.2475114266
59	0.9585835746	0.2444836298
60	0.9608697086	0.2427034164
61	0.9635332649	0.2406094901
62	0.96377768	0.2383804725
63	0.9640152742	0.2364611442
64	0.964372234	0.234493094
65	0.9667243032	0.2328228578
66	0.9668607209	0.2309733416
67	0.96741776	0.2289238824
68	0.9680259557	0.2266776721
69	0.9683476742	0.2245850713
70	0.9684806815	0.222554176
71	0.9688717457	0.2210150267
72	0.9692548522	0.2183583899
73	0.9697266302	0.2165917251
74	0.9697289038	0.2151246093
75	0.9703461941	0.2131069602
76	0.9704348656	0.2119995114
77	0.9707304374	0.2102293606
78	0.9707895518	0.2086003917
79	0.9709066437	0.2070821689
80	0.9711419643	0.2053592179
81	0.9715011976	0.2034177881
82	0.9721105302	0.2005466892
83	0.9724902262	0.1977255627
84	0.9729506361	0.1953522861
85	0.9733303321	0.1930457759
86	0.973552011	0.1915096358
87	0.9741613435	0.1885849554
88	0.9744137163	0.1869374544
89	0.9747320244	0.1854853806
90	0.974857074	0.1843156382
91	0.975016228	0.1821096645
92	0.9753117998	0.1810251086
93	0.9756062347	0.1791971145
94	0.9759006697	0.1771782614
95	0.9762246618	0.1757161107
96	0.9763963208	0.1748888914
97	0.9767726064	0.17261031
98	0.9771625338	0.170656332
99	0.9774956204	0.1686737503
