iter	Passed	Remaining
0	196	19429
1	290	14238
2	372	12037
3	524	12579
4	609	11572
5	708	11099
6	818	10874
7	914	10520
8	1009	10211
9	1089	9802
10	1183	9576
11	1296	9509
12	1375	9206
13	1483	9113
14	1563	8857
15	1648	8652
16	1727	8436
17	1812	8257
18	1887	8044
19	1966	7866
20	2038	7667
21	2114	7495
22	2195	7349
23	2281	7225
24	2546	7639
25	2630	7485
26	2705	7315
27	2784	7159
28	2862	7007
29	2939	6858
30	3015	6712
31	3092	6570
32	3163	6422
33	3249	6308
34	3335	6193
35	3417	6075
36	3497	5955
37	3577	5836
38	3656	5718
39	3738	5607
40	3827	5507
41	3910	5400
42	3991	5291
43	4115	5238
44	4209	5145
45	4285	5031
46	4365	4923
47	4445	4816
48	4524	4709
49	4611	4611
50	4688	4504
51	4769	4403
52	4846	4298
53	4942	4210
54	5021	4108
55	5100	4007
56	5180	3907
57	5261	3810
58	5338	3709
59	5430	3620
60	5508	3521
61	5586	3424
62	5661	3324
63	5749	3233
64	5836	3142
65	5914	3046
66	5986	2948
67	6063	2853
68	6137	2757
69	6221	2666
70	6303	2574
71	6373	2478
72	6454	2387
73	6547	2300
74	6639	2213
75	6720	2122
76	6795	2029
77	6875	1939
78	6953	1848
79	7039	1759
80	7115	1669
81	7188	1577
82	7276	1490
83	7384	1406
84	7466	1317
85	7549	1228
86	7628	1139
87	7722	1053
88	7802	964
89	7877	875
90	7960	787
91	8041	699
92	8110	610
93	8200	523
94	8301	436
95	8381	349
96	8455	261
97	8532	174
98	8627	87
99	8713	0
