track,artist,release_date,repeated
Taste Of Blood,Archive,1990-05-21,42
Jerusalem,Anúna,2020-01-24,37
La ballata dell'uomo in piu,Peppino Gagliardi,1995,32
Rinaldo / Act 2: Lascia ch'io pianga,George Frideric Handel,2023-03-14,31
DIS-MOI OUI,Says'z,2022-07-01,31
Moments (Lahzeha),Hamed Nikpay,2008-11-06,30
Lachrimae,John Dowland,2005-01-01,29
Years of Silence (Live),Thurisaz,2015-01-24,28
Bregovic: Ederlezi,Goran Bregović,2003-06-02,26
L'italiano,Toto Cutugno,1983-02-01,25
End of the World - Remastered,Blackfield,2007-01-01,24
"Amsterdam - Live, Olympia / 1964",Jacques Brel,1964,22
Ulysses' Gaze: 1. Ulysses' Theme,Eleni Karaindrou,2023-03-06,22
Carmina Burana: O Fortuna,Carl Orff,2009-11-23,21
Amsterdam,Gregory Alan Isakov,2013-07-09,20
"Miserere mei, Deus",Gregorio Allegri,1994-02-15,20
Feathered Indians,Tyler Childers,2017-08-04,19
Cats: Memory,Andrew Lloyd Webber,2007-01-01,19
Flying - Remastered 2009,The Beatles,1967-11-27,19
Medici,Nicola Piovani,1994,18
Bab' Azîz,Armand Amar,2005-12-01,18
Nothing Compares 2 U,Sinéad O'Connor,1990-07-01,18
Felicità,Al Bano And Romina Power,1982,18
Gigi l'amoroso,Dalida,1997-01-01,18
Nothing Else Matters (Remastered),Metallica,1991-08-12,17
Echoes,Nomadias,2022-10-23,17
"Take Me Home, Country Roads",John Denver,1997-06-17,17
The Room Upstairs,Alstad,2021-02-12,17
A Soulmate Who Wasn’t Meant to Be,Jess Benko,2019-07-19,17
Robin's Cello,Phoria,2020-11-27,17
Soul Lotion,Cadet de l'espace,2018-06-15,16
Famous Blue Raincoat,Leonard Cohen,1971-03-19,16
"Comptine d'un autre été, l'après-midi",Yann Tiersen,2001-04-23,16
Persistence,Johann Eder,2020-09-09,16
De Usuahia a la Quiaca,Gustavo Santaolalla,2004-01-01,16
Anthem Part Two,blink-182,2001,16
It's Not Ice,Tristan Eckerson,2019-10-18,16
Gnossienne No. 1,Erik Satie,2013,16
Cavatina,Stanley Myers,1984,15
"Waltz - From ""The Boorish""",Eleni Karaindrou,2015-12-08,15
Amazing Grace (Arr. William Ross),John Newton,2020-04-12,15
Solitude,Billie Holiday,1956-01-01,15
Un Instante,Gigi Borrelli,2021-04-10,15
